"","country","year","iso_code","population","gdp","cement_co2","cement_co2_per_capita","co2","co2_growth_abs","co2_growth_prct","co2_including_luc","co2_including_luc_growth_abs","co2_including_luc_growth_prct","co2_including_luc_per_capita","co2_including_luc_per_gdp","co2_including_luc_per_unit_energy","co2_per_capita","co2_per_gdp","co2_per_unit_energy","coal_co2","coal_co2_per_capita","consumption_co2","consumption_co2_per_capita","consumption_co2_per_gdp","cumulative_cement_co2","cumulative_co2","cumulative_co2_including_luc","cumulative_coal_co2","cumulative_flaring_co2","cumulative_gas_co2","cumulative_luc_co2","cumulative_oil_co2","cumulative_other_co2","energy_per_capita","energy_per_gdp","flaring_co2","flaring_co2_per_capita","gas_co2","gas_co2_per_capita","ghg_excluding_lucf_per_capita","ghg_per_capita","land_use_change_co2","land_use_change_co2_per_capita","methane","methane_per_capita","nitrous_oxide","nitrous_oxide_per_capita","oil_co2","oil_co2_per_capita","other_co2_per_capita","other_industry_co2","primary_energy_consumption","share_global_cement_co2","share_global_co2","share_global_co2_including_luc","share_global_coal_co2","share_global_cumulative_cement_co2","share_global_cumulative_co2","share_global_cumulative_co2_including_luc","share_global_cumulative_coal_co2","share_global_cumulative_flaring_co2","share_global_cumulative_gas_co2","share_global_cumulative_luc_co2","share_global_cumulative_oil_co2","share_global_cumulative_other_co2","share_global_flaring_co2","share_global_gas_co2","share_global_luc_co2","share_global_oil_co2","share_global_other_co2","total_ghg","total_ghg_excluding_lucf","trade_co2","trade_co2_share","gdp_per_capita","continent"
"11","Armenia",2015,"ARM",2878598,29365307392,0.241,0.084,5.469,-0.135,-2.405,6.532,-0.171,-2.557,2.269,0.222,0.161,1.9,0.186,0.135,0.004,0.001,5.885,2.044,0.2,13.526,347.201,591.334,43.869,2.157,134.782,248.529,152.869,NA,14125.896,1.385,0,0,4.427,1.538,3.182,3.154,1.063,0.369,2.47,0.858,1.09,0.379,0.798,0.277,NA,NA,40.663,0.017,0.015,0.016,0,0.038,0.023,0.027,0.006,0.013,0.064,0.035,0.029,NA,0,0.065,0.02,0.007,NA,9.08,9.16,0.416,7.602,10201.2533156766,"Asie"
"12","Aruba",2015,"ABW",104269,NA,0,0,0.898,0.026,2.941,NA,NA,NA,NA,NA,NA,8.609,NA,0.166,0,0,NA,NA,NA,0,71.671,NA,0,0,0,NA,71.671,NA,51797.262,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.898,8.609,NA,NA,5.401,0,0.003,NA,0,0,0.005,NA,0,0,0,NA,0.013,NA,0,0,NA,0.008,NA,NA,NA,NA,NA,NA,"Amérique"
"13","Australia",2015,"AUS",23820240,1145386827776,3.076,0.129,401.793,7.84,1.99,437.7,-38.033,-7.995,18.375,0.382,0.274,16.868,0.351,0.251,174.189,7.313,382.345,16.051,0.334,176.624,16519.459,30033.645,9345.983,201.055,1680.348,13514.188,5025.118,90.33,67151.32,1.397,10.828,0.455,72.044,3.024,25.062,23.882,35.907,1.507,134.8,5.659,72.5,3.044,137.629,5.778,0.169,4.027,1599.561,0.213,1.13,1.069,1.184,0.496,1.088,1.346,1.304,1.256,0.803,1.885,0.942,1.146,2.823,1.061,0.667,1.154,1.33,568.87,596.98,-19.448,-4.84,48084.6048476422,"Océanie"
"14","Austria",2015,"AUT",8642422,358988120064,1.701,0.197,66.349,2.189,3.412,64.48,1.639,2.609,7.461,0.18,0.163,7.677,0.185,0.168,14.373,1.663,89.202,10.321,0.248,129.04,5173.74,5371.742,2667.5,4.03,636.289,226.325,1707.981,28.9,45737.727,1.101,0.162,0.019,15.967,1.848,8.833,8.015,-1.869,-0.216,7.39,0.855,3.95,0.457,32.999,3.818,0.133,1.147,395.285,0.118,0.187,0.157,0.098,0.363,0.341,0.241,0.372,0.025,0.304,0.032,0.32,0.367,0.042,0.235,-0.035,0.277,0.379,69.27,76.34,22.853,34.444,41537.9068580544,"Europe"
"15","Azerbaijan",2015,"AZE",9863485,163997089792,0.843,0.086,34.683,0.335,0.974,40.655,2.973,7.888,4.122,0.248,0.237,3.516,0.211,0.202,0.011,0.001,37.248,3.776,0.227,25.896,2312.835,3103.672,24.247,29.844,925.923,810.44,1306.925,NA,17369.922,1.045,0.362,0.037,21.935,2.224,5.122,4.833,5.972,0.605,14.23,1.443,4.1,0.416,11.532,1.169,NA,NA,171.328,0.058,0.098,0.099,0,0.073,0.152,0.139,0.003,0.186,0.442,0.113,0.245,NA,0.094,0.323,0.111,0.097,NA,47.67,50.52,2.565,7.395,16626.6882133445,"Asie"
"16","Bahamas",2015,"BHS",392707,NA,0,0,2.136,-0.293,-12.066,2.099,-0.293,-12.251,5.346,NA,0.178,5.439,NA,0.181,0.004,0.009,NA,NA,NA,4.262,157.769,160.59,0.246,0,0,7.438,153.261,NA,30096.48,NA,0,0,0,0,6.417,6.442,-0.037,-0.093,0.22,0.56,0.04,0.102,2.132,5.43,NA,NA,11.819,0,0.006,0.005,0,0.012,0.01,0.007,0,0,0,0.001,0.029,NA,0,0,-0.001,0.018,NA,2.53,2.52,NA,NA,NA,"Amérique"
"17","Bahrain",2015,"BHR",1362157,56045613056,0.367,0.269,32.46,1.56,5.048,32.46,1.56,5.048,23.83,0.579,0.159,23.83,0.579,0.159,0,0,18.211,13.369,0.325,4.653,760.66,760.66,0.154,0.417,560.571,0,194.865,NA,149474.812,3.633,0.077,0.056,28.238,20.731,35.877,35.877,0,0,15.8,11.599,0.15,0.11,3.778,2.773,NA,NA,203.608,0.025,0.091,0.079,0,0.013,0.05,0.034,0,0.003,0.268,0,0.037,NA,0.02,0.416,0,0.032,NA,48.87,48.87,-14.249,-43.896,41144.7528119005,"Asie"
"18","Bangladesh",2015,"BGD",157830000,552394686464,1.062,0.007,73.158,7.149,10.83,96.021,13.524,16.393,0.608,0.174,0.264,0.464,0.132,0.201,8.607,0.055,72.556,0.46,0.131,15.646,1135.173,3245.124,70.046,0.122,689.624,4664.125,359.736,NA,2303.323,0.658,0.057,0,48.742,0.309,1.218,1.357,22.863,0.145,89.84,0.569,28.38,0.18,14.689,0.093,NA,NA,363.534,0.074,0.206,0.235,0.059,0.044,0.075,0.145,0.01,0.001,0.33,0.651,0.067,NA,0.015,0.718,0.425,0.123,NA,214.1,192.18,-0.602,-0.823,3499.93465414687,"Asie"
"19","Barbados",2015,"BRB",278095,3448058880,0.071,0.254,1.305,0.004,0.281,1.195,0.004,0.307,4.299,0.347,0.175,4.694,0.379,0.191,0,0,NA,NA,NA,3.274,48.969,49.885,0.055,0.103,1.53,3.737,44.007,NA,24569.877,1.982,0.037,0.132,0.04,0.145,13.449,13.449,-0.11,-0.395,2.32,8.342,0.04,0.144,1.158,4.163,NA,NA,6.833,0.005,0.004,0.003,0,0.009,0.003,0.002,0,0.001,0.001,0.001,0.008,NA,0.01,0.001,-0.002,0.01,NA,3.74,3.74,NA,NA,12398.8524784696,"Amérique"
"20","Belarus",2015,"BLR",9700609,173928284160,2.269,0.234,58.799,-4.85,-7.62,55.172,-4.557,-7.629,5.687,0.317,0.207,6.061,0.338,0.22,4.094,0.422,60.022,6.187,0.345,69.676,4648.251,8480.903,522.272,10.106,1128.2,4027.029,2870.367,47.629,27527.162,1.535,0.006,0.001,33.957,3.5,8.736,7.045,-3.627,-0.374,17.24,1.777,12.62,1.301,17.178,1.771,0.133,1.295,267.03,0.157,0.165,0.135,0.028,0.196,0.306,0.38,0.073,0.063,0.539,0.562,0.538,0.604,0.002,0.5,-0.067,0.144,0.428,68.34,84.74,1.223,2.08,17929.62525961,"Europe"
"21","Belgium",2015,"BEL",11248306,434918719488,2.348,0.209,101.062,4.175,4.309,104.579,5.164,5.194,9.297,0.24,0.156,8.985,0.232,0.151,14.438,1.284,208.622,18.547,0.48,207.887,12060.025,12262.254,7459.401,2.712,1156.983,343.39,3168.757,64.286,59646.211,1.543,0.088,0.008,33.821,3.007,9.906,9.696,3.517,0.313,8.53,0.758,4.78,0.425,48.198,4.285,0.193,2.169,670.919,0.163,0.284,0.255,0.098,0.584,0.794,0.55,1.041,0.017,0.553,0.048,0.594,0.816,0.023,0.498,0.065,0.404,0.716,109.06,111.43,107.561,106.431,38665.2638617762,"Europe"
"22","Belize",2015,"BLZ",359884,NA,0,0,0.641,0.172,36.719,5.404,2.114,64.254,15.017,NA,1.473,1.782,NA,0.175,0,0,NA,NA,NA,0,15.979,198.886,0,0,0.04,250.068,15.938,NA,10197.744,NA,0,0,0.004,0.01,4.112,19.423,4.763,13.235,0.48,1.334,0.25,0.695,0.638,1.772,NA,NA,3.67,0,0.002,0.013,0,0,0.001,0.009,0,0,0,0.035,0.003,NA,0,0,0.088,0.005,NA,6.99,1.48,NA,NA,NA,"Amérique"
"23","Benin",2015,"BEN",10932791,22279708672,0.214,0.02,5.329,0.533,11.111,18.812,-2.582,-12.067,1.721,0.844,0.826,0.487,0.239,0.234,0.11,0.01,7.845,0.718,0.352,4.447,76.14,1246.421,0.297,0,0.136,1165.628,71.261,NA,2083.499,1.022,0,0,0.059,0.005,1.109,2.089,13.484,1.233,3.54,0.324,2.34,0.214,4.946,0.452,NA,NA,22.778,0.015,0.015,0.046,0.001,0.012,0.005,0.056,0,0,0,0.163,0.013,NA,0,0.001,0.25,0.041,NA,22.84,12.12,2.516,47.222,2037.87931846497,"Afrique"
"24","Bermuda",2015,"BMU",63165,NA,0,0,0.539,-0.132,-19.672,NA,NA,NA,NA,NA,NA,8.527,NA,0.216,0,0,NA,NA,NA,0,25.923,NA,0.04,0,0,NA,25.882,NA,39425.172,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.539,8.527,NA,NA,2.49,0,0.002,NA,0,0,0.002,NA,0,0,0,NA,0.005,NA,0,0,NA,0.005,NA,NA,NA,NA,NA,NA,"Amérique"
"25","Bhutan",2015,"BTN",743284,NA,0.302,0.406,0.965,0.017,1.746,9.136,0.273,3.081,12.291,NA,0.508,1.298,NA,0.054,0.213,0.286,NA,NA,NA,2.419,11.509,585.585,3.138,0,0,1028.375,5.952,NA,24206.25,NA,0,0,0,0,1.87,0.148,8.171,10.993,0.51,0.686,0.12,0.161,0.451,0.606,NA,NA,17.992,0.021,0.003,0.022,0.001,0.007,0.001,0.026,0,0,0,0.143,0.001,NA,0,0,0.152,0.004,NA,0.11,1.39,NA,NA,NA,"Asie"
"26","Bolivia",2015,"BOL",11090090,66965467136,1.368,0.123,21.242,0.567,2.74,61.583,5.843,10.482,5.553,0.92,0.693,1.915,0.317,0.239,0.015,0.001,21.492,1.938,0.321,20.241,439.971,5690.446,0.271,55.129,115.433,7578.764,248.897,NA,8018.658,1.328,0.1,0.009,8.233,0.742,5.188,10.789,40.341,3.638,29.05,2.619,9.79,0.883,11.527,1.039,NA,NA,88.928,0.095,0.06,0.15,0,0.057,0.029,0.255,0,0.344,0.055,1.057,0.047,NA,0.026,0.121,0.749,0.097,NA,119.65,57.54,0.25,1.176,6038.31593215204,"Amérique"
"27","Bonaire Sint Eustatius and Saba",2015,"BES",23193,NA,0,0,0.095,0.011,13.043,0.095,0.011,13.043,4.107,NA,NA,4.107,NA,NA,0,0,NA,NA,NA,0,8.016,8.236,0,0,0,0.22,8.016,NA,NA,NA,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,0.095,4.107,NA,NA,NA,0,0,0,0,0,0.001,0,0,0,0,0,0.002,NA,0,0,0,0.001,NA,NA,NA,NA,NA,NA,"Amérique"
"28","Bosnia and Herzegovina",2015,"BIH",3524328,37642616832,0.309,0.088,18.46,-0.851,-4.408,17.948,0.175,0.983,5.092,0.477,0.253,5.238,0.49,0.26,13.491,3.828,NA,NA,NA,9.529,843.091,1627.333,670.411,0.325,22.054,1101.582,140.772,NA,20142.895,1.886,0,0,0.407,0.115,7.062,6.007,-0.513,-0.146,3.6,1.021,1.48,0.42,4.254,1.207,NA,NA,70.99,0.021,0.052,0.044,0.092,0.027,0.056,0.073,0.094,0.002,0.011,0.154,0.026,NA,0,0.006,-0.01,0.036,NA,21.17,24.89,NA,NA,10680.7927162285,"Europe"
"29","Botswana",2015,"BWA",2305177,31968200704,0.006,0.003,5.421,-1.429,-20.86,5.275,-2.821,-34.848,2.288,0.165,0.225,2.352,0.17,0.231,2.896,1.256,13.486,5.85,0.422,0.225,116,235.667,67.903,0,0.004,272.052,47.868,NA,10171.935,0.733,0,0,0.004,0.002,5.288,23.217,-0.147,-0.064,2.89,1.254,2.21,0.959,2.515,1.091,NA,NA,23.448,0,0.015,0.013,0.02,0.001,0.008,0.011,0.009,0,0,0.038,0.009,NA,0,0,-0.003,0.021,NA,53.52,12.19,8.065,148.769,13868.0026323358,"Afrique"
"30","Brazil",2015,"BRA",205188208,3270706200576,25.082,0.122,529.353,-28.548,-5.117,1738.07,10.181,0.589,8.471,0.531,0.505,2.58,0.162,0.154,69.452,0.338,548.661,2.674,0.168,655.51,13798.883,117248.336,2106.244,350.142,919.409,107532.023,9636.293,131.285,16782.99,1.053,17.604,0.086,80.465,0.392,5.338,6.662,1208.717,5.891,434.96,2.12,176.37,0.86,330.359,1.61,0.031,6.392,3443.672,1.736,1.489,4.245,0.472,1.843,0.908,5.255,0.294,2.187,0.439,15,1.806,1.666,4.59,1.185,22.443,2.769,2.111,1366.89,1095.3,19.308,3.648,15940.0300458592,"Amérique"
"31","British Virgin Islands",2015,"VGB",29394,NA,0,0,0.213,0,0,NA,NA,NA,NA,NA,NA,7.23,NA,0.285,0,0,NA,NA,NA,0,4.661,NA,0,0,0,NA,4.661,NA,25398.59,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.213,7.23,NA,NA,0.747,0,0.001,NA,0,0,0,NA,0,0,0,NA,0.001,NA,0,0,NA,0.002,NA,NA,NA,NA,NA,NA,"Amérique"
"32","Brunei",2015,"BRN",421449,NA,0,0,6.933,-1.898,-21.489,8.472,-1.751,-17.129,20.102,NA,0.173,16.451,NA,0.142,0,0,7.547,17.908,NA,0,313.459,393.077,0.004,83.954,149.703,79.619,79.798,NA,116176.789,NA,0.397,0.941,4.891,11.606,19.908,20.809,1.539,3.651,1.58,3.749,0.14,0.332,1.645,3.904,NA,NA,48.963,0,0.019,0.021,0,0,0.021,0.018,0,0.524,0.072,0.011,0.015,NA,0.103,0.072,0.029,0.014,NA,8.77,8.39,0.614,8.854,NA,"Asie"
"33","Bulgaria",2015,"BGR",7309255,119894269952,1.105,0.151,48.261,2.994,6.615,42.398,1.858,4.584,5.801,0.354,0.189,6.603,0.403,0.215,27.68,3.787,40.735,5.573,0.34,98.831,3614.832,4713.226,2038.579,5.422,307.99,1245.174,1144.434,19.576,30657.832,1.869,0.6,0.082,5.932,0.812,7.834,6.176,-5.862,-0.802,7.42,1.015,4.03,0.551,11.662,1.596,0.175,1.28,224.086,0.077,0.136,0.104,0.188,0.278,0.238,0.211,0.284,0.034,0.147,0.174,0.214,0.248,0.157,0.087,-0.109,0.098,0.423,45.14,57.26,-7.526,-15.594,16403.0766407794,"Europe"
"34","Burkina Faso",2015,"BFA",18718022,26236008448,0.523,0.028,3.715,0.803,27.597,9.834,-2.201,-18.288,0.525,0.375,0.628,0.198,0.142,0.237,0,0,4.86,0.26,0.185,2.267,44.814,901.934,0,0,0,1113.16,42.547,NA,837.051,0.597,0,0,0,0,1.498,1.812,6.119,0.327,14.26,0.762,9.24,0.494,3.192,0.171,NA,NA,15.668,0.036,0.01,0.024,0,0.006,0.003,0.04,0,0,0,0.155,0.008,NA,0,0,0.114,0.027,NA,33.91,28.04,1.145,30.824,1401.64427886665,"Afrique"
"35","Burundi",2015,"BDI",10727153,7340438016,0.039,0.004,0.394,0.019,5.051,5.267,-0.641,-10.843,0.491,0.718,2.534,0.037,0.054,0.19,0.007,0.001,NA,NA,NA,0.145,10.077,358.231,0.546,0,0,700.227,9.386,NA,193.754,0.283,0,0,0,0,0.337,0.206,4.873,0.454,1.16,0.108,1.74,0.162,0.348,0.032,NA,NA,2.078,0.003,0.001,0.013,0,0,0.001,0.016,0,0,0,0.098,0.002,NA,0,0,0.09,0.003,NA,2.21,3.62,NA,NA,684.28575746053,"Afrique"
"36","Cambodia",2015,"KHM",15417527,48358453248,0.653,0.042,8.366,1.531,22.407,38.007,-15.799,-29.363,2.465,0.786,1.074,0.543,0.173,0.236,2.206,0.143,28.647,1.858,0.592,3.73,91.709,4739.2,4.504,0,0,4647.491,83.476,NA,2294.998,0.732,0,0,0,0,2.02,6.54,29.642,1.923,19.95,1.294,7.07,0.459,5.507,0.357,NA,NA,35.383,0.045,0.024,0.093,0.015,0.01,0.006,0.212,0.001,0,0,0.648,0.016,NA,0,0,0.55,0.046,NA,100.83,31.14,20.281,242.437,3136.58949635697,"Asie"
"37","Cameroon",2015,"CMR",23012650,67430903808,0.659,0.029,9.851,1.079,12.303,40.592,4.303,11.859,1.764,0.602,0.934,0.428,0.146,0.227,0,0,11.07,0.481,0.164,12.116,185.608,2314.245,0.263,6.734,5.892,3338.673,160.601,NA,1888.393,0.644,2.036,0.088,0.942,0.041,3.822,5.307,30.741,1.336,15.52,0.674,62.38,2.711,6.213,0.27,NA,NA,43.457,0.046,0.028,0.099,0,0.034,0.012,0.104,0,0.042,0.003,0.466,0.03,NA,0.531,0.014,0.571,0.052,NA,122.13,87.95,1.219,12.375,2930.16683467571,"Afrique"
"38","Canada",2015,"CAN",35732120,1565171122176,6.185,0.173,574.298,4.459,0.782,707.961,14.022,2.021,19.813,0.452,0.175,16.072,0.367,0.142,78.099,2.186,544.088,15.227,0.348,335.016,30733.744,68559.922,9357.762,534.548,6932.397,37826.551,13498.23,75.79,113089.453,2.582,16.132,0.451,213.496,5.975,19.716,23.542,133.663,3.741,92.95,2.601,41.95,1.174,258.061,7.222,0.065,2.324,4040.926,0.428,1.615,1.729,0.531,0.942,2.023,3.073,1.306,3.339,3.312,5.276,2.53,0.962,4.206,3.145,2.482,2.163,0.768,841.22,704.48,-30.21,-5.26,43802.9179957976,"Amérique"
"39","Cape Verde",2015,"CPV",552169,3421235968,0,0,0.491,0.004,0.752,0.454,-0.033,-6.767,0.823,0.133,0.119,0.889,0.144,0.129,0,0,NA,NA,NA,0.072,11.695,16.018,0.244,0,0,7.988,11.379,NA,6915.403,1.116,0,0,0,0,1.232,1.105,-0.037,-0.066,0.09,0.163,0.07,0.127,0.491,0.889,NA,NA,3.818,0,0.001,0.001,0,0,0.001,0.001,0,0,0,0.001,0.002,NA,0,0,-0.001,0.004,NA,0.61,0.68,NA,NA,6195.99428435859,"Afrique"
"40","Central African Republic",2015,"CAF",4819341,3105792000,0,0,0.18,0.055,44.118,2.451,0.311,14.555,0.509,0.789,1.713,0.037,0.058,0.125,0,0,NA,NA,NA,0,9.512,388.15,0,0,0,870.09,9.512,NA,297.004,0.461,0,0,0,0,4.36,10.549,2.272,0.471,17.64,3.66,19.01,3.945,0.18,0.037,NA,NA,1.431,0,0.001,0.006,0,0,0.001,0.017,0,0,0,0.121,0.002,NA,0,0,0.042,0.002,NA,50.84,21.01,NA,NA,644.443296292999,"Afrique"
"41","Chad",2015,"TCD",14140277,32955875328,0.085,0.006,1.685,-0.172,-9.254,18.649,-6.767,-26.625,1.319,0.566,4.447,0.119,0.051,0.402,0,0,NA,NA,NA,0.287,24.94,570.29,0,1.203,0,1145.476,23.45,NA,296.608,0.127,0.449,0.032,0,0,4.817,6.719,16.964,1.2,44.19,3.125,22.01,1.557,1.15,0.081,NA,NA,4.194,0.006,0.005,0.046,0,0.001,0.002,0.026,0,0.008,0,0.16,0.004,NA,0.117,0,0.315,0.01,NA,95.01,68.12,NA,NA,2330.63859555227,"Afrique"
"42","Chile",2015,"CHL",17870122,386428796928,1.033,0.058,81.757,4.167,5.37,120.668,4.753,4.1,6.753,0.312,0.285,4.575,0.212,0.193,27.169,1.52,86.275,4.828,0.223,51.478,2482.723,6258.584,766.779,78.13,254.905,4463.045,1331.43,NA,23696.555,1.096,0.09,0.005,9.112,0.51,5.715,1.193,38.912,2.177,10.85,0.607,7.12,0.398,44.353,2.482,NA,NA,423.46,0.072,0.23,0.295,0.185,0.145,0.163,0.28,0.107,0.488,0.122,0.623,0.25,NA,0.023,0.134,0.722,0.372,NA,21.32,102.13,4.518,5.527,21624.2953980952,"Amérique"
