"","country","year","iso_code","population","gdp","cement_co2","cement_co2_per_capita","co2","co2_growth_abs","co2_growth_prct","co2_including_luc","co2_including_luc_growth_abs","co2_including_luc_growth_prct","co2_including_luc_per_capita","co2_including_luc_per_gdp","co2_including_luc_per_unit_energy","co2_per_capita","co2_per_gdp","co2_per_unit_energy","coal_co2","coal_co2_per_capita","consumption_co2","consumption_co2_per_capita","consumption_co2_per_gdp","cumulative_cement_co2","cumulative_co2","cumulative_co2_including_luc","cumulative_coal_co2","cumulative_flaring_co2","cumulative_gas_co2","cumulative_luc_co2","cumulative_oil_co2","cumulative_other_co2","energy_per_capita","energy_per_gdp","flaring_co2","flaring_co2_per_capita","gas_co2","gas_co2_per_capita","ghg_excluding_lucf_per_capita","ghg_per_capita","land_use_change_co2","land_use_change_co2_per_capita","methane","methane_per_capita","nitrous_oxide","nitrous_oxide_per_capita","oil_co2","oil_co2_per_capita","other_co2_per_capita","other_industry_co2","primary_energy_consumption","share_global_cement_co2","share_global_co2","share_global_co2_including_luc","share_global_coal_co2","share_global_cumulative_cement_co2","share_global_cumulative_co2","share_global_cumulative_co2_including_luc","share_global_cumulative_coal_co2","share_global_cumulative_flaring_co2","share_global_cumulative_gas_co2","share_global_cumulative_luc_co2","share_global_cumulative_oil_co2","share_global_cumulative_other_co2","share_global_flaring_co2","share_global_gas_co2","share_global_luc_co2","share_global_oil_co2","share_global_other_co2","total_ghg","total_ghg_excluding_lucf","trade_co2","trade_co2_share","gdp_per_capita","continent"
"19","Barbados",1955,"BRB",227330,938190976,0,0,0.128,0.015,12.903,0.202,0.015,7.843,0.886,0.215,NA,0.564,0.137,NA,0.004,0.016,NA,NA,NA,0,0.667,1.656,0.022,0,0.051,3.811,0.594,NA,NA,NA,0,0,0.007,0.032,NA,NA,0.073,0.322,NA,NA,NA,NA,0.117,0.516,NA,NA,NA,0,0.002,0.001,0,0,0,0,0,0,0.001,0.001,0.002,NA,0,0.001,0.001,0.005,NA,NA,NA,NA,NA,4127.00029032684,"Amérique"
"20","Belarus",1955,"BLR",7976362,NA,0.255,0.032,28.656,3.386,13.4,48.405,5.548,12.945,6.069,NA,NA,3.593,NA,NA,8.066,1.011,NA,NA,NA,1.997,423.274,3737.066,112.966,0,4.021,3508.17,304.29,NA,NA,NA,0,0,0.456,0.057,NA,NA,19.749,2.476,NA,NA,NA,NA,19.878,2.492,NA,NA,NA,0.237,0.385,0.355,0.184,0.148,0.16,0.557,0.052,0,0.055,0.854,0.815,NA,0,0.083,0.319,0.86,NA,NA,NA,NA,NA,NA,"Europe"
"21","Belgium",1955,"BEL",8834527,88773435392,2.319,0.262,92.017,6.282,7.328,88.939,6.282,7.601,10.067,1.002,NA,10.416,1.037,NA,76.805,8.694,NA,NA,NA,34.845,5135.203,5383.817,4987.687,0,0.297,389.776,112.374,NA,NA,NA,0,0,0.077,0.009,NA,NA,-3.078,-0.348,NA,NA,NA,NA,12.816,1.451,NA,NA,NA,2.156,1.236,0.653,1.756,2.58,1.942,0.803,2.289,0,0.004,0.095,0.301,NA,0,0.014,-0.05,0.554,NA,NA,NA,NA,NA,10048.4650046347,"Europe"
"22","Belize",1955,"BLZ",80005,NA,0,0,0.029,0,0,2.154,0.586,37.383,26.929,NA,NA,0.366,NA,NA,0,0,NA,NA,NA,0,0.158,11.626,0,0,0,78.629,0.158,NA,NA,NA,0,0,0,0,NA,NA,2.125,26.562,NA,NA,NA,NA,0.029,0.366,NA,NA,NA,0,0,0.016,0,0,0,0.002,0,0,0,0.019,0,NA,0,0,0.034,0.001,NA,NA,NA,NA,NA,NA,"Amérique"
"23","Benin",1955,"BEN",2360087,2727958272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.035,2.981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.005,NA,NA,NA,NA,0.114,NA,NA,NA,NA,NA,NA,1155.87191150157,"Afrique"
"24","Bermuda",1955,"BMU",39158,NA,0,0,0.11,0.026,30.435,NA,NA,NA,NA,NA,NA,2.807,NA,NA,0.004,0.094,NA,NA,NA,0,0.495,NA,0.026,0,0,NA,0.469,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.106,2.714,NA,NA,NA,0,0.001,NA,0,0,0,NA,0,0,0,NA,0.001,NA,0,0,NA,0.005,NA,NA,NA,NA,NA,NA,"Amérique"
"25","Bhutan",1955,"BTN",196028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,289.163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.673,49.345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,NA,NA,NA,NA,0.156,NA,NA,NA,NA,NA,NA,NA,"Asie"
"26","Bolivia",1955,"BOL",3357924,9081515008,0.018,0.005,0.931,0.143,18.138,45.851,4.466,10.792,13.655,5.049,NA,0.277,0.102,NA,0.011,0.003,NA,NA,NA,0.287,5.856,1183.942,0.121,0,0.011,3506.375,5.437,NA,NA,NA,0,0,0.011,0.003,NA,NA,44.921,13.378,NA,NA,NA,NA,0.89,0.265,NA,NA,NA,0.017,0.013,0.336,0,0.021,0.002,0.177,0,0,0,0.853,0.015,NA,0,0.002,0.726,0.039,NA,NA,NA,NA,NA,2704.5028440191,"Amérique"
"27","Bonaire Sint Eustatius and Saba",1955,"BES",7550,NA,0,0,0.156,-0.033,-17.283,0.156,-0.033,-17.283,20.611,NA,NA,20.611,NA,NA,0,0,NA,NA,NA,0,1.55,1.55,0,0,0,0,1.55,NA,NA,NA,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,0.156,20.611,NA,NA,NA,0,0.002,0.001,0,0,0.001,0,0,0,0,0,0.004,NA,0,0,0,0.007,NA,NA,NA,NA,NA,NA,"Amérique"
"28","Bosnia and Herzegovina",1955,"BIH",2958434,6736110080,0.018,0.006,3.434,0.435,14.516,21.315,0.362,1.728,7.205,3.164,NA,1.161,0.51,NA,3.301,1.116,NA,NA,NA,0.268,55.161,783.418,53.959,0,0.037,1045.596,0.898,NA,NA,NA,0,0,0.008,0.003,NA,NA,17.88,6.044,NA,NA,NA,NA,0.108,0.036,NA,NA,NA,0.016,0.046,0.156,0.075,0.02,0.021,0.117,0.025,0,0.001,0.254,0.002,NA,0,0.002,0.289,0.005,NA,NA,NA,NA,NA,2276.91747728697,"Europe"
"29","Botswana",1955,"BWA",461892,243921904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.554,7.695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.024,NA,NA,NA,NA,0.057,NA,NA,NA,NA,NA,NA,528.092939475029,"Afrique"
"30","Brazil",1955,"BRA",62701036,165244239872,1.37,0.022,34.024,4.348,14.652,922.324,29.63,3.319,14.71,5.582,NA,0.543,0.206,NA,5.862,0.093,NA,NA,NA,12.035,390.623,21283.447,263.7,0.333,0.114,24975.398,114.441,NA,NA,NA,0.121,0.002,0.015,0,NA,NA,888.3,14.167,NA,NA,NA,NA,26.656,0.425,NA,NA,NA,1.274,0.457,6.767,0.134,0.891,0.148,3.173,0.121,0.067,0.002,6.079,0.306,NA,0.125,0.003,14.361,1.153,NA,NA,NA,NA,NA,2635.43077457285,"Amérique"
"31","Brunei",1955,"BRN",64283,NA,0,0,0.3,-0.059,-16.327,0.923,-0.022,-2.326,14.363,NA,NA,4.674,NA,NA,0,0,NA,NA,NA,0,34.548,69.392,0,0,4.019,34.845,30.529,NA,NA,NA,0,0,0.267,4.161,NA,NA,0.623,9.69,NA,NA,NA,NA,0.033,0.513,NA,NA,NA,0,0.004,0.007,0,0,0.013,0.01,0,0,0.055,0.008,0.082,NA,0,0.049,0.01,0.001,NA,NA,NA,NA,NA,NA,"Asie"
"32","Bulgaria",1955,"BGR",7517927,25677944832,0.4,0.053,12.092,0.7,6.142,25.685,0.443,1.756,3.417,1,NA,1.608,0.471,NA,10.589,1.408,NA,NA,NA,3.217,171.013,1129.259,163.055,0,0,1105.026,4.741,NA,NA,NA,0,0,0,0,NA,NA,13.593,1.808,NA,NA,NA,NA,1.103,0.147,NA,NA,NA,0.372,0.162,0.188,0.242,0.238,0.065,0.168,0.075,0,0,0.269,0.013,NA,0,0,0.22,0.048,NA,NA,NA,NA,NA,3415.56187390487,"Europe"
"33","Burkina Faso",1955,"BFA",4472827,3963846912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.684,1.941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.058,NA,NA,NA,NA,0.14,NA,NA,NA,NA,NA,NA,886.206176094001,"Afrique"
"34","Burundi",1955,"BDI",2495202,1736391808,0,0,0.008,0.001,19.997,8.508,0.294,3.584,3.41,4.9,NA,0.003,0.004,NA,0,0,NA,NA,NA,0,0.063,52.385,0.002,0,0,404.396,0.061,NA,NA,NA,0,0,0,0,NA,NA,8.5,3.407,NA,NA,NA,NA,0.008,0.003,NA,NA,NA,0,0,0.062,0,0,0,0.008,0,0,0,0.098,0,NA,0,0,0.137,0,NA,NA,NA,NA,NA,695.892279663129,"Afrique"
"35","Cambodia",1955,"KHM",4931233,4170306304,0,0,0.103,0.103,NA,90.457,-1.143,-1.248,18.344,21.691,NA,0.021,0.025,NA,0,0,NA,NA,NA,0,0.103,2016.255,0,0,0,2016.153,0.103,NA,NA,NA,0,0,0,0,NA,NA,90.354,18.323,NA,NA,NA,NA,0.103,0.021,NA,NA,NA,0,0.001,0.664,0,0,0,0.301,0,0,0,0.491,0,NA,0,0,1.461,0.004,NA,NA,NA,NA,NA,845.692406746954,"Asie"
"36","Cameroon",1955,"CMR",4670545,6263419904,0.004,0.001,0.234,0.004,1.574,46.511,-1.205,-2.526,9.958,7.426,NA,0.05,0.037,NA,0,0,NA,NA,NA,0.004,1.271,297.652,0.15,0,0,1506.417,1.118,NA,NA,NA,0,0,0,0,NA,NA,46.276,9.908,NA,NA,NA,NA,0.231,0.049,NA,NA,NA,0.003,0.003,0.341,0,0,0,0.044,0,0,0,0.367,0.003,NA,0,0,0.748,0.01,NA,NA,NA,NA,NA,1341.04690223518,"Afrique"
"37","Canada",1955,"CAN",15733926,209810259968,1.973,0.125,169.473,6.506,3.992,545.4,13.54,2.546,34.664,2.599,NA,10.771,0.808,NA,72.214,4.59,NA,NA,NA,23.961,5321.354,28688.182,4269.057,3.364,90.113,23367.197,934.86,NA,NA,NA,2.092,0.133,7.438,0.473,NA,NA,375.926,23.893,NA,NA,NA,NA,85.756,5.45,NA,NA,NA,1.835,2.277,4.002,1.651,1.774,2.012,4.277,1.96,0.68,1.244,5.687,2.504,NA,2.161,1.359,6.077,3.709,NA,NA,NA,NA,NA,13334.8955605867,"Amérique"
"38","Cape Verde",1955,"CPV",195399,174746000,0,0,0.022,0,0,0.059,-0.037,-38.462,0.3,0.335,NA,0.113,0.126,NA,0.007,0.038,NA,NA,NA,0,0.278,0.975,0.225,0,0,4.36,0.053,NA,NA,NA,0,0,0,0,NA,NA,0.037,0.188,NA,NA,NA,NA,0.015,0.075,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0.001,0,NA,0,0,0.001,0.001,NA,NA,NA,NA,NA,894.303450887671,"Afrique"
"39","Central African Republic",1955,"CAF",1545901,1970776064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,457.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.626,6.873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.111,NA,NA,NA,NA,0.172,NA,NA,NA,NA,NA,NA,1274.83976270149,"Afrique"
"40","Chad",1955,"TCD",2756173,2544367104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,564.256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.395,4.134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.137,NA,NA,NA,NA,0.184,NA,NA,NA,NA,NA,NA,923.152176586883,"Afrique"
"41","Chile",1955,"CHL",7323198,42759069696,0.396,0.054,11.597,0.517,4.661,52.597,1.689,3.318,7.182,1.23,NA,1.584,0.271,NA,5.459,0.745,NA,NA,NA,5.622,256.914,2482.574,223.973,0.41,0.191,2912.843,26.718,NA,NA,NA,0.136,0.019,0.092,0.013,NA,NA,41,5.599,NA,NA,NA,NA,5.514,0.753,NA,NA,NA,0.368,0.156,0.386,0.125,0.416,0.097,0.37,0.103,0.083,0.003,0.709,0.072,NA,0.14,0.017,0.663,0.239,NA,NA,NA,NA,NA,5838.85205561832,"Amérique"
"42","China",1955,"CHN",603320128,681084977152,1.873,0.003,190.521,29.644,18.426,641.596,58.7,10.07,1.063,0.942,NA,0.316,0.28,NA,183.196,0.304,NA,NA,NA,13.251,2986.453,15143.568,2945.415,0,0.121,15782.277,27.667,NA,NA,NA,0,0,0.033,0,NA,NA,451.075,0.748,NA,NA,NA,NA,5.419,0.009,NA,NA,NA,1.741,2.56,4.708,4.189,0.981,1.129,2.258,1.352,0,0.002,3.841,0.074,NA,0,0.006,7.292,0.234,NA,NA,NA,NA,NA,1128.89483632809,"Asie"
"43","Colombia",1955,"COL",13512614,51404935168,0.516,0.038,11.944,2.323,24.14,328.111,9.211,2.888,24.282,6.383,NA,0.884,0.232,NA,4.752,0.352,NA,NA,NA,4.176,124.535,7984.841,39.764,0,16.556,13344.947,64.038,NA,NA,NA,0,0,0,0,NA,NA,316.167,23.398,NA,NA,NA,NA,6.676,0.494,NA,NA,NA,0.48,0.16,2.407,0.109,0.309,0.047,1.19,0.018,0,0.228,3.248,0.172,NA,0,0,5.111,0.289,NA,NA,NA,NA,NA,3804.21842642734,"Amérique"
"44","Comoros",1955,"COM",177891,97744000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,1.236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,NA,NA,NA,NA,0.004,NA,NA,NA,NA,NA,NA,549.460062622617,"Afrique"
"45","Congo",1955,"COG",933422,1675407872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2113.432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.203,93.423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.514,NA,NA,NA,NA,1.41,NA,NA,NA,NA,NA,NA,1794.90934646923,"Afrique"
"46","Costa Rica",1955,"CRI",1123989,4045617152,0,0,0.348,-0.059,-14.414,29.514,0.821,2.86,26.258,7.295,NA,0.31,0.086,NA,0,0,NA,NA,NA,0,2.173,165.111,0,0,0,1046.768,2.173,NA,NA,NA,0,0,0,0,NA,NA,29.165,25.948,NA,NA,NA,NA,0.348,0.31,NA,NA,NA,0,0.005,0.217,0,0,0.001,0.025,0,0,0,0.255,0.006,NA,0,0,0.472,0.015,NA,NA,NA,NA,NA,3599.33874085956,"Amérique"
"47","Cote d'Ivoire",1955,"CIV",3154287,5683028992,0,0,0,0,NA,224.09,11.652,5.485,71.043,39.431,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,6241.66,NA,NA,NA,6241.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,224.09,71.043,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1.644,NA,0,0,0.931,NA,NA,NA,1.519,NA,NA,NA,NA,3.623,NA,NA,NA,NA,NA,NA,1801.68418155989,"Afrique"
