"","country","year","iso_code","population","gdp","cement_co2","cement_co2_per_capita","co2","co2_growth_abs","co2_growth_prct","co2_including_luc","co2_including_luc_growth_abs","co2_including_luc_growth_prct","co2_including_luc_per_capita","co2_including_luc_per_gdp","co2_including_luc_per_unit_energy","co2_per_capita","co2_per_gdp","co2_per_unit_energy","coal_co2","coal_co2_per_capita","consumption_co2","consumption_co2_per_capita","consumption_co2_per_gdp","cumulative_cement_co2","cumulative_co2","cumulative_co2_including_luc","cumulative_coal_co2","cumulative_flaring_co2","cumulative_gas_co2","cumulative_luc_co2","cumulative_oil_co2","cumulative_other_co2","energy_per_capita","energy_per_gdp","flaring_co2","flaring_co2_per_capita","gas_co2","gas_co2_per_capita","ghg_excluding_lucf_per_capita","ghg_per_capita","land_use_change_co2","land_use_change_co2_per_capita","methane","methane_per_capita","nitrous_oxide","nitrous_oxide_per_capita","oil_co2","oil_co2_per_capita","other_co2_per_capita","other_industry_co2","primary_energy_consumption","share_global_cement_co2","share_global_co2","share_global_co2_including_luc","share_global_coal_co2","share_global_cumulative_cement_co2","share_global_cumulative_co2","share_global_cumulative_co2_including_luc","share_global_cumulative_coal_co2","share_global_cumulative_flaring_co2","share_global_cumulative_gas_co2","share_global_cumulative_luc_co2","share_global_cumulative_oil_co2","share_global_cumulative_other_co2","share_global_flaring_co2","share_global_gas_co2","share_global_luc_co2","share_global_oil_co2","share_global_other_co2","total_ghg","total_ghg_excluding_lucf","trade_co2","trade_co2_share","gdp_per_capita","continent"
"11","Armenia",1995,"ARM",3322788,14085538816,0.139,0.042,3.433,0.72,26.53,7.354,1.856,33.752,2.213,0.522,0.191,1.033,0.244,0.089,0.007,0.002,2.728,0.821,0.194,8.484,262.248,452.483,43.649,2.157,71.249,194.632,136.709,NA,11600.216,2.736,0,0,2.616,0.787,1.998,2.037,3.92,1.18,2.57,0.773,0.54,0.163,0.671,0.202,NA,NA,38.545,0.022,0.015,0.026,0,0.056,0.028,0.03,0.009,0.023,0.072,0.032,0.043,NA,0,0.062,0.074,0.007,NA,6.77,6.64,-0.705,-20.547,4239.0723741629,"Asie"
"12","Aruba",1995,"ABW",77070,NA,0,0,0.707,0.048,7.222,NA,NA,NA,NA,NA,NA,9.175,NA,0.204,0,0,NA,NA,NA,0,33.65,NA,0,0,0,NA,33.65,NA,44960.535,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.707,9.175,NA,NA,3.465,0,0.003,NA,0,0,0.004,NA,0,0,0,NA,0.011,NA,0,0,NA,0.008,NA,NA,NA,NA,NA,NA,"Amérique"
"13","Australia",1995,"AUS",18003002,549172871168,3.358,0.187,305.003,11.306,3.85,495.751,180.583,57.298,27.537,0.903,0.429,16.942,0.555,0.264,155.719,8.65,261.404,14.52,0.476,106.126,8991.139,19254.334,5572.752,45.18,553.588,10263.193,2698.179,15.313,64117.027,2.102,7.061,0.392,39.831,2.212,27.97,30.994,190.748,10.595,137.05,7.613,77.5,4.305,96.127,5.339,0.162,2.908,1154.299,0.539,1.3,1.725,1.771,0.705,0.974,1.256,1.16,0.478,0.557,1.671,0.854,0.52,2.883,0.946,3.607,1.027,1.301,557.98,503.55,-43.599,-14.295,30504.5164783073,"Océanie"
"14","Austria",1995,"AUT",7947293,236824444928,1.631,0.205,64.023,2.977,4.877,61.385,2.757,4.703,7.724,0.259,0.167,8.056,0.27,0.174,15.423,1.941,92.772,11.673,0.392,93.956,3764.962,3989.418,2351.667,0.701,303.082,252.779,1009.392,6.164,46183.117,1.55,0.127,0.016,14.899,1.875,9.758,8.063,-2.638,-0.332,10.45,1.315,4.65,0.585,30.852,3.882,0.137,1.09,367.031,0.262,0.273,0.214,0.175,0.624,0.408,0.26,0.489,0.007,0.305,0.041,0.32,0.209,0.052,0.354,-0.05,0.329,0.488,64.08,77.55,28.749,44.904,29799.3851400722,"Europe"
"15","Azerbaijan",1995,"AZE",7889335,23188279296,0.103,0.013,33.309,-8.635,-20.586,37.157,-8.012,-17.737,4.71,1.602,0.231,4.222,1.436,0.207,0.015,0.002,23.125,2.931,0.997,15.258,1670.787,2394.28,24.079,6.335,584.542,743.096,1040.573,NA,20362.68,6.928,0,0,13.308,1.687,5.258,5.059,3.847,0.488,6.68,0.847,2.26,0.286,19.885,2.52,NA,NA,160.648,0.016,0.142,0.129,0,0.101,0.181,0.156,0.005,0.067,0.588,0.121,0.329,NA,0,0.316,0.073,0.212,NA,39.91,41.48,-10.184,-30.574,2939.19313807818,"Asie"
"16","Bahamas",1995,"BHS",299567,NA,0,0,1.839,0.07,3.934,1.839,0.07,3.934,6.14,NA,0.146,6.14,NA,0.146,0.004,0.012,NA,NA,NA,4.262,117.102,120.143,0.158,0,0,7.658,112.683,NA,42184.473,NA,0,0,0,0,7.978,8.112,0,0,0.19,0.634,0.04,0.134,1.836,6.128,NA,NA,12.637,0,0.008,0.006,0,0.028,0.013,0.008,0,0,0,0.001,0.036,NA,0,0,0,0.02,NA,2.43,2.39,NA,NA,NA,"Amérique"
"17","Bahrain",1995,"BHR",612941,6084213760,0.079,0.129,14.786,0.032,0.217,14.786,0.032,0.217,24.124,2.43,0.178,24.124,2.43,0.178,0,0,14.351,23.413,2.359,0.608,305.079,305.079,0.154,0,180.548,0,123.769,NA,135597.828,13.661,0,0,13.044,21.281,32.205,32.205,0,0,5.89,9.609,0.06,0.098,1.663,2.714,NA,NA,83.113,0.013,0.063,0.051,0,0.004,0.033,0.02,0,0,0.182,0,0.039,NA,0,0.31,0,0.018,NA,19.74,19.74,-0.436,-2.948,9926.26331082437,"Asie"
"18","Bangladesh",1995,"BGD",117793336,145833066496,0.069,0.001,21.042,3.504,19.978,26.391,5.043,23.62,0.224,0.181,0.246,0.179,0.144,0.196,1.22,0.01,26.356,0.224,0.181,2.281,294.658,2143.11,24.58,0,123.805,4402.625,143.992,NA,909.293,0.734,0,0,13.029,0.111,0.898,1.091,5.349,0.045,69.38,0.589,19.9,0.169,6.723,0.057,NA,NA,107.109,0.011,0.09,0.092,0.014,0.015,0.032,0.14,0.005,0,0.125,0.717,0.046,NA,0,0.309,0.101,0.072,NA,128.57,105.83,5.314,25.255,1238.04173859207,"Asie"
"19","Barbados",1995,"BRB",262309,3074994176,0.037,0.142,0.807,0.068,9.226,0.807,0.068,9.226,3.075,0.262,0.143,3.075,0.262,0.143,0,0,NA,NA,NA,0.971,23.226,24.911,0.055,0,0.842,4.507,21.359,NA,21489.178,1.833,0,0,0.033,0.126,12.809,12.809,0,0,2.23,8.501,0.05,0.191,0.736,2.808,NA,NA,5.637,0.006,0.003,0.003,0,0.006,0.003,0.002,0,0,0.001,0.001,0.007,NA,0,0.001,0,0.008,NA,3.36,3.36,NA,NA,11722.7932552829,"Amérique"
"20","Belarus",1995,"BLR",10461694,71373348864,0.563,0.054,60.906,-6.974,-10.274,67.611,-12.616,-15.726,6.463,0.947,0.27,5.822,0.853,0.243,5.889,0.563,34.709,3.318,0.486,39.53,3453.237,7321.649,446.839,9.979,442.616,4062.79,2498.684,15.589,23964.195,3.513,0.006,0.001,24.34,2.327,8.121,4.98,6.705,0.641,15.44,1.476,11.92,1.139,28.607,2.734,0.143,1.5,250.706,0.09,0.26,0.235,0.067,0.263,0.374,0.478,0.093,0.106,0.445,0.662,0.791,0.53,0.003,0.578,0.127,0.306,0.671,52.1,84.96,-26.196,-43.011,6822.35103263391,"Europe"
"21","Belgium",1995,"BEL",10095204,297776709632,3.255,0.322,125.933,1.138,0.912,127.765,0.222,0.174,12.656,0.429,0.19,12.475,0.423,0.187,36.955,3.661,166.317,16.475,0.559,149.957,9694.531,9848.688,6979.549,0.505,477.973,295.318,2071.616,14.932,66578.133,2.257,0.084,0.008,26.305,2.606,13.577,13.188,1.832,0.181,13.13,1.301,8.83,0.875,56.737,5.62,0.257,2.596,672.12,0.523,0.537,0.444,0.42,0.996,1.05,0.643,1.453,0.005,0.481,0.048,0.656,0.507,0.034,0.625,0.035,0.606,1.161,133.14,137.06,40.384,32.068,29496.8491604528,"Europe"
"22","Belize",1995,"BLZ",203572,NA,0,0,0.377,0.004,0.98,3.931,-1.425,-26.607,19.312,NA,2.454,1.854,NA,0.236,0,0,NA,NA,NA,0,7.079,151.221,0,0,0,211.303,7.079,NA,7869.031,NA,0,0,0,0,29.768,62.337,3.554,17.459,5.54,27.214,0.13,0.639,0.377,1.854,NA,NA,1.602,0,0.002,0.014,0,0,0.001,0.01,0,0,0,0.034,0.002,NA,0,0,0.067,0.004,NA,12.69,6.06,NA,NA,NA,"Amérique"
"23","Benin",1995,"BEN",6046512,10500461568,0.081,0.013,0.956,0.045,4.908,48.002,15.067,45.748,7.939,4.571,11.643,0.158,0.091,0.232,0,0,1.429,0.236,0.136,1.348,14.729,581.879,0,0,0,562.497,13.381,NA,681.846,0.393,0,0,0,0,0.741,3.313,47.046,7.781,2.76,0.456,1.94,0.321,0.876,0.145,NA,NA,4.123,0.013,0.004,0.167,0,0.009,0.002,0.038,0,0,0,0.092,0.004,NA,0,0,0.89,0.009,NA,20.03,4.48,0.473,49.425,1736.61469091602,"Afrique"
"24","Bermuda",1995,"BMU",59486,NA,0,0,0.531,0,0,NA,NA,NA,NA,NA,NA,8.931,NA,0.248,0,0,NA,NA,NA,0,14.843,NA,0.04,0,0,NA,14.803,NA,36060.488,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.531,8.931,NA,NA,2.145,0,0.002,NA,0,0,0.002,NA,0,0,0,NA,0.005,NA,0,0,NA,0.006,NA,NA,NA,NA,NA,NA,"Amérique"
"25","Bhutan",1995,"BTN",527535,NA,0.057,0.108,0.236,0.035,17.203,14.343,-3.116,-17.85,27.188,NA,3.244,0.448,NA,0.053,0.077,0.146,NA,NA,NA,0.244,1.738,352.602,0.469,0,0,805.164,1.025,NA,8379.913,NA,0,0,0,0,1.649,-10.843,14.106,26.74,0.6,1.137,0.13,0.246,0.103,0.194,NA,NA,4.421,0.009,0.001,0.05,0.001,0.002,0,0.023,0,0,0,0.131,0,NA,0,0,0.267,0.001,NA,-5.72,0.87,NA,NA,NA,"Asie"
"26","Bolivia",1995,"BOL",7841471,28507105280,0.402,0.051,12.427,-0.157,-1.246,148.838,-58.195,-28.109,18.981,5.221,4.103,1.585,0.436,0.343,0,0,11.269,1.437,0.395,5.218,175.715,3188.109,0.234,46.178,21.276,5340.683,102.81,NA,4626.537,1.273,4.551,0.58,2.451,0.313,3.784,14.209,136.411,17.396,18.39,2.345,8.12,1.036,5.023,0.641,NA,NA,36.279,0.065,0.053,0.518,0,0.035,0.019,0.208,0,0.488,0.021,0.87,0.033,NA,1.858,0.058,2.58,0.054,NA,111.42,29.67,-1.158,-9.317,3635.42826084545,"Amérique"
"27","Bonaire Sint Eustatius and Saba",1995,"BES",13228,NA,0,0,0.066,-0.001,-1.042,0.066,-0.001,-1.042,5.027,NA,NA,5.027,NA,NA,0,0,NA,NA,NA,0,6.619,6.839,0,0,0,0.22,6.619,NA,NA,NA,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,0.066,5.027,NA,NA,NA,0,0,0,0,0,0.001,0,0,0,0,0,0.002,NA,0,0,0,0.001,NA,NA,NA,NA,NA,NA,"Amérique"
"28","Bosnia and Herzegovina",1995,"BIH",3750528,11770818560,0.09,0.024,3.402,0.197,6.149,-2.424,1.003,-29.273,-0.646,-0.206,-0.044,0.907,0.289,0.062,1.376,0.367,NA,NA,NA,3.44,520.626,1374.411,430.896,0.325,12.678,1171.124,73.287,NA,14646.124,4.667,0,0,0.282,0.075,1.674,2.546,-5.826,-1.553,2.29,0.611,0.58,0.155,1.654,0.441,NA,NA,54.931,0.014,0.015,-0.008,0.016,0.023,0.056,0.09,0.09,0.003,0.013,0.191,0.023,NA,0,0.007,-0.11,0.018,NA,9.55,6.28,NA,NA,3138.44305655097,"Europe"
"29","Botswana",1995,"BWA",1543641,9306935296,NA,NA,3.045,0.015,0.484,6.562,0.051,0.788,4.251,0.705,0.591,1.972,0.327,0.274,1.975,1.279,3.045,1.972,0.327,NA,32.236,92.729,26.114,0,0,212.878,6.121,NA,7197.263,1.194,0,0,0,0,8.733,35.475,3.517,2.279,5.7,3.693,4.64,3.006,1.07,0.693,NA,NA,11.11,NA,0.013,0.023,0.022,NA,0.003,0.006,0.005,0,0,0.035,0.002,NA,0,0,0.067,0.011,NA,54.76,13.48,0,0,6029.20970355154,"Afrique"
"30","Brazil",1995,"BRA",163515328,1466460143616,11.528,0.071,268.678,14.676,5.778,1972.511,-53.584,-2.645,12.063,1.345,1.031,1.643,0.183,0.14,45.582,0.279,297.833,1.821,0.203,289.035,5870.757,77706.625,1026.231,89.572,105.224,75918.445,4336.861,23.834,11702.085,1.305,7.514,0.046,9.603,0.059,4.135,10.547,1703.833,10.42,315.71,1.931,124.37,0.761,190.347,1.164,0.025,4.104,1913.47,1.852,1.145,6.862,0.518,1.92,0.636,5.07,0.214,0.947,0.106,12.364,1.373,0.81,3.068,0.228,32.219,2.033,1.836,1724.55,676.2,29.155,10.851,8968.33441581697,"Amérique"
"31","British Virgin Islands",1995,"VGB",17693,NA,0,0,0.11,0.011,11.111,NA,NA,NA,NA,NA,NA,6.213,NA,0.568,0,0,NA,NA,NA,0,1.33,NA,0,0,0,NA,1.33,NA,10945.183,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.11,6.213,NA,NA,0.194,0,0,NA,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,0.001,NA,NA,NA,NA,NA,NA,"Amérique"
"32","Brunei",1995,"BRN",299108,NA,0,0,4.785,0.095,2.031,5.408,0.095,1.793,18.081,NA,0.298,15.998,NA,0.264,0,0,4.635,15.496,NA,0,187.096,248.651,0.004,73.401,61.927,61.555,51.765,NA,60665.789,NA,0.961,3.212,2.735,9.145,20.962,26.412,0.623,2.082,1.66,5.55,0.09,0.301,1.089,3.641,NA,NA,18.146,0,0.02,0.019,0,0,0.02,0.016,0,0.776,0.062,0.01,0.016,NA,0.392,0.065,0.012,0.012,NA,7.9,6.27,-0.15,-3.137,NA,"Asie"
"33","Bulgaria",1995,"BGR",8477584,73463005184,1.993,0.235,57.951,1.546,2.742,65.755,5.247,8.672,7.756,0.895,0.242,6.836,0.789,0.213,31.313,3.694,46.59,5.496,0.634,73.188,2616.455,3874.855,1443.861,0.835,179.886,1405.181,914.088,4.597,32044.537,3.698,0.167,0.02,9.974,1.177,8.403,5.838,7.804,0.921,12.01,1.417,4.34,0.512,13.765,1.624,0.087,0.739,271.66,0.32,0.247,0.229,0.356,0.486,0.283,0.253,0.3,0.009,0.181,0.229,0.289,0.156,0.068,0.237,0.148,0.147,0.33,49.49,71.24,-11.361,-19.605,8665.55910080042,"Europe"
"34","Burkina Faso",1995,"BFA",10353268,11823049728,0.012,0.001,0.624,-0.021,-3.218,11.396,5.365,88.963,1.101,0.964,3.776,0.06,0.053,0.207,0,0,0.895,0.086,0.076,0.012,12.426,375.052,0,0,0,618.666,12.414,NA,291.543,0.255,0,0,0,0,1.334,2.641,10.772,1.04,8.65,0.835,5.83,0.563,0.612,0.059,NA,NA,3.018,0.002,0.003,0.04,0,0,0.001,0.024,0,0,0,0.101,0.004,NA,0,0,0.204,0.007,NA,27.34,13.81,0.271,43.483,1141.96307175667,"Afrique"
"35","Burundi",1995,"BDI",5932789,5429588480,NA,NA,0.238,0.004,1.562,4.965,0.26,5.53,0.837,0.914,2.642,0.04,0.044,0.127,0.018,0.003,NA,NA,NA,NA,4.923,259.095,0.277,0,0,606.245,4.646,NA,316.683,0.346,0,0,0,0,0.303,1.232,4.727,0.797,0.56,0.094,1.03,0.174,0.22,0.037,NA,NA,1.879,NA,0.001,0.017,0,NA,0.001,0.017,0,0,0,0.099,0.001,NA,0,0,0.089,0.002,NA,7.31,1.8,NA,NA,915.183142363566,"Afrique"
"36","Cambodia",1995,"KHM",10919528,16129537024,0,0,1.499,0.073,5.141,38.029,-4.03,-9.583,3.483,2.358,6.126,0.137,0.093,0.241,0,0,2.025,0.185,0.126,0,19.273,3893.256,0.443,0,0,3873.984,18.83,NA,568.517,0.385,0,0,0,0,1.707,2.504,36.53,3.345,16.16,1.48,5.52,0.506,1.499,0.137,NA,NA,6.208,0,0.006,0.132,0,0,0.002,0.254,0,0,0,0.631,0.006,NA,0,0,0.691,0.016,NA,27.34,18.64,0.527,35.144,1477.12767658089,"Asie"
"37","Cameroon",1995,"CMR",13211643,22791555072,0.225,0.017,3.204,0.363,12.762,24.895,2.781,12.575,1.884,1.092,1.115,0.242,0.141,0.143,0.004,0,3.62,0.274,0.159,4.115,82.852,1569.923,0.256,0,0,2697.107,78.481,NA,1690.048,0.98,0,0,0,0,5.94,10.034,21.691,1.642,13.03,0.986,61.64,4.666,2.975,0.225,NA,NA,22.328,0.036,0.014,0.087,0,0.027,0.009,0.102,0,0,0,0.439,0.025,NA,0,0,0.41,0.032,NA,132.57,78.48,0.417,13.006,1725.1113333898,"Afrique"
"38","Canada",1995,"CAN",29289430,922093223936,6.529,0.223,491.387,12.66,2.645,708.589,5.406,0.769,24.193,0.768,0.21,16.777,0.533,0.145,104.352,3.563,495.564,16.92,0.537,200.042,19514.527,53813.043,7226.532,215.347,3383.237,34298.887,8470.521,18.849,115464.414,3.668,14.901,0.509,147.505,5.036,19.792,22.072,217.202,7.416,79.95,2.73,44.34,1.514,214.866,7.336,0.11,3.234,3381.887,1.049,2.095,2.465,1.187,1.329,2.114,3.511,1.504,2.278,3.405,5.586,2.681,0.641,6.084,3.504,4.107,2.295,1.447,646.48,579.71,4.177,0.85,31482.1156962085,"Amérique"
"39","Cape Verde",1995,"CPV",411394,941287744,0,0,0.198,0.022,12.5,0.271,-0.015,-5.128,0.659,0.288,0.564,0.481,0.21,0.412,0,0,NA,NA,NA,0.072,3.297,5.092,0.244,0,0,5.459,2.981,NA,1167.612,0.51,0,0,0,0,0.729,-0.51,0.073,0.178,0.09,0.219,0.08,0.194,0.198,0.481,NA,NA,0.48,0,0.001,0.001,0,0,0,0,0,0,0,0.001,0.001,NA,0,0,0.001,0.002,NA,-0.21,0.3,NA,NA,2288.04441484319,"Afrique"
"40","Central African Republic",1995,"CAF",3276707,3468004608,0,0,0.209,0,0,6.584,-0.037,-0.553,2.009,1.899,4.593,0.064,0.06,0.146,0,0,NA,NA,NA,0,5.5,254.322,0,0,0,740.275,5.5,NA,437.501,0.413,0,0,0,0,6.073,15.14,6.375,1.946,16.93,5.167,18.55,5.661,0.209,0.064,NA,NA,1.434,0,0.001,0.023,0,0,0.001,0.017,0,0,0,0.121,0.002,NA,0,0,0.121,0.002,NA,49.61,19.9,NA,NA,1058.38105390564,"Afrique"
"41","Chad",1995,"TCD",6888862,4614553088,NA,NA,0.421,0.015,3.604,5.661,-1.414,-19.99,0.822,1.227,7.755,0.061,0.091,0.577,0,0,NA,NA,NA,NA,6.881,216.682,0,0,0,809.927,6.881,NA,105.965,0.158,0,0,0,0,3.732,5.111,5.24,0.761,16.97,2.463,10.16,1.475,0.421,0.061,NA,NA,0.73,NA,0.002,0.02,0,NA,0.001,0.014,0,0,0,0.132,0.002,NA,0,0,0.099,0.004,NA,35.21,25.71,NA,NA,669.857095119629,"Afrique"
"42","Chile",1995,"CHL",14416799,196500488192,0.992,0.069,41.072,3.556,9.477,45.579,5.094,12.584,3.162,0.232,0.196,2.849,0.209,0.177,10.311,0.715,41.035,2.846,0.209,29.592,1180.652,4402.627,441.294,74.501,55.449,3909.158,579.817,NA,16108.677,1.182,0.315,0.022,2.616,0.181,3.896,2.705,4.507,0.313,11.47,0.796,5.75,0.399,26.838,1.862,NA,NA,232.236,0.159,0.175,0.159,0.117,0.197,0.128,0.287,0.092,0.788,0.056,0.637,0.184,NA,0.129,0.062,0.085,0.287,NA,39,56.17,-0.038,-0.092,13629.9665544342,"Amérique"
"43","China",1995,"CHN",1218144384,4810000039936,184.637,0.152,3357.909,257.907,8.32,4423.253,185.14,4.368,3.631,0.92,0.427,2.757,0.698,0.324,2569.754,2.11,2992.187,2.456,0.622,1641.281,58121.059,102855.133,46520.156,30.613,653.844,48359.23,7709.294,1565.87,8498.712,2.152,0,0,42.436,0.035,3.538,3.251,1065.345,0.875,850.31,0.698,358.59,0.294,468.23,0.384,0.076,92.852,10352.658,29.663,14.314,15.387,29.222,10.905,6.295,6.711,9.681,0.324,0.658,7.876,2.44,53.211,0,1.008,20.145,5,41.537,3960.71,4309.24,-365.722,-10.891,3948.62883506591,"Asie"
